genotype,ASC_Score,SE
S1,5.49,1.176
S10,6.4,1.192
S100,4.13,1.194
S101,5.51,1.18
S102,7.2,1.156
S103,1.9,1.175
S104,4.54,1.243
S105,5.62,1.207
S106,3.69,1.224
S107,5.65,1.215
S108,3.97,1.213
S109,5.22,1.223
S11,7.63,1.2
S110,3.87,1.221
S111,5.64,1.216
S112,4.37,1.2
S113,3.84,1.222
S114,5.41,1.229
S115,4.56,1.218
S116,5.88,1.225
S117,4.59,1.211
S118,4.82,1.209
S119,5.55,1.226
S12,7.49,1.173
S120,6.63,1.201
S121,4.53,1.23
S122,5.92,1.22
S123,3.44,1.22
S124,6.14,1.228
S125,7.32,1.219
S126,4.13,1.214
S127,3.63,1.207
S128,4.49,1.214
S129,3.96,1.199
S13,6.32,1.229
S130,3.84,1.211
S131,5.07,1.209
S132,5.38,1.227
S133,4.73,1.222
S134,3.69,1.225
S135,4.38,1.218
S136,4.03,1.225
S137,3.61,1.216
S138,4.51,1.228
S139,7.32,1.232
S14,7.07,1.17
S140,4.07,1.224
S141,5.03,1.228
S142,5.89,1.203
S143,6.28,1.215
S144,4.75,1.216
S145,6.26,1.269
S146,6.04,1.213
S147,3.83,1.2
S148,4.4,1.223
S149,5.69,1.221
S15,5.95,1.203
S150,3.71,1.217
S151,4.02,1.223
S152,4.13,1.227
S153,4.6,1.242
S154,4.14,1.216
S155,4.66,1.227
S156,5.41,1.219
S157,5.31,1.274
S158,5.47,1.2
S159,6.1,1.223
S16,6.27,1.227
S160,6.68,1.208
S161,4.29,1.242
S162,4.45,1.201
S163,3.79,1.211
S164,5.91,1.235
S165,3.24,1.209
S166,5.63,1.222
S167,5.76,1.192
S168,5.2,1.208
S169,4.7,1.221
S17,5.55,1.173
S170,7.48,1.216
S171,2.19,1.219
S172,6.61,1.22
S173,4.68,1.201
S174,5.35,1.22
S175,8.27,1.21
S176,4.28,1.22
S177,3.96,1.201
S178,6.65,1.259
S179,3.89,1.219
S18,6.94,1.209
S180,4.91,1.224
S181,2.74,1.228
S182,6.92,1.242
S183,3.83,1.242
S184,3.55,1.24
S185,6.75,1.25
S186,6.29,1.255
S187,6.89,1.288
S188,6.9,1.245
S189,5.73,1.243
S19,5.8,1.226
S190,6,1.246
S191,4.47,1.249
S192,3.74,1.24
S193,6.71,1.233
S194,5.57,1.236
S195,5.01,1.265
S196,5.59,1.2
S197,6.95,1.232
S198,2.62,1.214
S199,5.21,1.229
S2,0.94,1.17
S20,2.03,1.211
S200,6.72,1.261
S21,7.42,1.197
S22,6.53,1.204
S23,7.38,1.191
S24,7.83,1.17
S25,4.37,1.211
S26,7.04,1.226
S27,4.18,1.197
S28,4.92,1.176
S29,4.46,1.19
S3,2.18,1.173
S30,5.51,1.201
S31,1.22,1.208
S32,4.63,1.209
S33,3.77,1.222
S34,4,1.205
S35,1.81,1.218
S36,6.72,1.182
S37,4.94,1.261
S38,2.74,1.168
S39,7.33,1.18
S4,5.36,1.18
S40,5.32,1.226
S41,3.79,1.172
S42,7.59,1.184
S43,5,1.197
S44,4.45,1.189
S45,2.19,1.168
S46,4.02,1.205
S47,1.97,1.171
S48,2.5,1.177
S49,2.88,1.249
S5,3.65,1.177
S50,1.37,1.167
S51,7.06,1.164
S52,7.33,1.162
S53,5.45,1.222
S54,3.18,1.2
S55,3.01,1.179
S56,6.12,1.205
S57,5.24,1.197
S58,6.43,1.173
S59,4.27,1.2
S6,6.65,1.168
S60,2.79,1.172
S61,6.02,1.167
S62,3.06,1.182
S63,4.01,1.211
S64,5.26,1.183
S65,6.35,1.204
S66,5.29,1.229
S67,2.46,1.206
S68,3.76,1.2
S69,4.54,1.193
S7,8.82,1.188
S70,7.07,1.209
S71,4.1,1.174
S72,7.09,1.158
S73,6.25,1.192
S74,6.5,1.181
S75,8.28,1.178
S76,4.64,1.176
S77,4.54,1.211
S78,4.99,1.16
S79,4.09,1.193
S8,5.92,1.205
S80,4.1,1.193
S81,7.33,1.168
S82,2.8,1.209
S83,3.87,1.184
S84,6.87,1.177
S85,4.1,1.199
S86,2.94,1.201
S87,4.32,1.213
S88,3.47,1.192
S89,4.9,1.175
S9,7.57,1.166
S90,1.66,1.184
S91,2.43,1.188
S92,1.95,1.163
S93,5.24,1.222
S94,3.44,1.177
S95,4.52,1.184
S96,5.46,1.173
S97,2.28,1.212
S98,5.28,1.202
S99,6.38,1.191
